time_s,Temperature_uniform_noise
222.39,35.85
223.474,35.75
224.558,35.85
225.642,35.91
226.726,35.85
227.81,35.83
228.894,35.83
229.992,35.77
231.076,35.81
232.16,35.81
233.244,35.89
234.328,35.89
235.412,35.85
236.496,35.85
237.58,35.83
238.664,35.81
239.747,35.81
240.831,35.77
241.914,35.83
242.997,35.83
244.081,35.81
245.164,35.89
246.247,35.85
247.331,35.83
248.415,35.81
249.499,35.85
250.583,35.83
251.666,35.89
252.75,35.91
253.833,35.77
254.916,35.77
256.0,35.89
257.084,35.83
258.168,35.85
259.251,35.75
260.335,35.83
261.419,35.81
262.503,35.77
263.587,35.83
264.671,35.67
265.754,35.71
266.853,35.81
267.937,35.75
269.02,35.83
270.104,35.83
271.188,35.75
272.272,35.71
273.356,35.63
274.44,35.75
275.524,35.77
276.607,35.77
277.691,35.77
278.775,35.83
279.858,35.63
280.942,35.77
282.025,35.83
283.109,35.85
284.193,35.91
285.277,35.97
286.36,35.83
287.444,35.83
288.528,35.91
289.612,35.91
290.696,35.81
291.779,35.85
292.862,35.91
293.945,35.89
295.029,35.91
296.112,35.93
297.196,35.89
298.28,35.93
299.363,35.93
300.447,35.93
301.531,35.85
302.614,35.93
303.712,35.91
304.796,35.85
305.879,35.77
306.962,35.89
308.046,35.85
309.13,35.93
310.214,35.85
311.297,35.91
312.381,35.85
313.465,35.91
314.549,35.91
315.632,35.91
316.716,35.97
317.8,35.89
318.884,35.81
319.967,35.91
321.051,35.83
322.134,35.85
323.217,35.91
324.301,35.85
325.385,35.91
326.469,35.85
327.553,35.89
328.638,35.81
329.728,35.89
330.812,35.93
331.896,35.83
332.979,35.85
334.063,35.83
335.147,35.85
336.23,35.83
337.314,35.89
338.397,35.83
339.481,35.89
340.564,35.85
341.635,35.89
342.718,35.89
343.801,35.83
344.885,35.89
345.969,35.81
347.052,35.83
348.136,35.83
349.22,35.85
350.304,35.83
351.388,35.85
352.472,35.85
353.556,35.83
354.641,35.81
355.724,35.85
356.808,35.85
357.896,35.83
358.98,35.89
360.065,35.83
361.149,35.83
362.233,35.83
363.316,35.83
364.4,35.81
365.485,35.85
366.569,35.89
367.652,35.83
368.737,35.85
369.821,35.89
370.905,35.81
371.988,35.91
373.072,35.89
374.156,35.89
375.24,35.91
376.324,35.99
377.407,35.89
378.508,35.93
379.592,36.05
380.676,35.93
381.759,36.05
382.842,36.05
383.926,36.05
385.01,36.01
386.094,36.21
387.177,36.15
388.261,36.01
389.344,36.09
390.428,36.05
391.512,36.07
392.596,36.07
393.68,36.07
394.764,36.09
395.848,36.05
396.932,36.09
398.016,36.05
399.1,36.09
400.183,36.05
401.268,36.07
402.352,36.01
403.435,35.97
404.519,35.93
405.602,35.97
406.686,35.99
407.77,36.01
408.853,35.99
409.937,36.01
411.021,36.05
412.105,36.05
413.189,36.09
414.272,36.01
415.37,36.01
416.453,36.05
417.536,36.05
418.62,35.93
419.704,36.07
420.788,35.97
421.871,35.97
422.955,36.01
424.039,35.99
425.123,36.17
426.207,36.15
427.291,36.21
428.375,36.15
429.459,36.23
430.543,36.17
431.627,36.17
432.711,36.13
433.795,36.15
434.878,36.13
435.961,36.15
437.044,36.13
438.127,36.09
439.21,36.15
440.294,36.23
441.378,36.09
442.461,36.07
443.544,36.09
444.628,36.17
445.711,36.09
446.795,36.15
447.878,36.15
448.969,36.13
450.053,36.13
451.137,36.15
452.236,36.17
453.319,36.13
454.403,36.17
455.487,36.09
456.571,36.13
457.655,36.13
458.739,36.13
459.823,36.13
460.906,36.15
461.99,36.07
463.073,36.15
464.157,36.15
465.241,36.05
466.363,36.09
467.447,36.07
468.531,36.05
469.615,36.01
470.698,36.07
471.782,36.07
472.866,36.05
473.95,36.01
475.034,35.97
476.118,36.07
477.202,35.99
478.286,36.09
479.397,36.01
480.481,35.97
481.565,36.05
482.649,36.09
483.733,36.05
484.817,36.05
485.901,36.09
486.985,36.05
488.069,35.99
489.168,36.07
490.251,36.07
491.334,36.07
492.448,36.09
493.532,36.13
494.615,36.07
495.699,36.09
496.782,36.13
497.866,36.05
498.95,36.17
500.034,36.09
501.118,36.07
502.202,36.07
503.286,36.13
504.37,36.05
505.482,36.09
506.565,36.07
507.649,36.07
508.733,36.05
509.816,36.07
510.9,36.01
511.983,36.05
513.067,36.07
514.151,36.05
515.235,36.01
516.319,36.07
517.402,36.05
518.516,36.07
519.6,35.91
520.684,35.99
521.768,35.93
522.852,35.93
523.936,35.97
525.02,35.97
526.12,35.97
527.203,35.89
528.287,35.93
529.371,35.99
530.481,36.01
531.565,36.05
532.649,35.99
533.733,35.99
534.817,35.85
535.901,35.75
536.984,35.93
538.068,36.01
539.152,35.97
540.235,35.91
541.318,35.85
542.402,35.93
543.554,35.91
544.638,35.89
545.721,35.91
546.805,35.99
547.889,35.93
548.973,36.01
550.057,35.89
551.141,35.99
552.225,35.85
553.309,35.93
554.393,35.89
555.477,35.83
556.56,35.89
557.644,35.89
558.728,35.83
559.812,35.91
560.907,35.81
561.991,35.89
563.089,35.85
564.173,35.91
565.257,35.85
566.341,35.81
567.425,35.85
568.509,35.85
569.593,35.83
570.677,35.83
571.761,35.83
572.844,35.81
573.928,35.89
575.011,35.93
576.094,35.85
577.189,35.91
578.273,35.81
579.357,35.77
580.441,35.81
581.525,35.89
582.609,35.83
583.693,35.81
584.776,35.81
585.859,35.77
586.942,35.83
588.026,35.81
589.11,35.77
590.194,35.77
591.278,35.71
592.362,35.83
593.503,35.77
594.587,35.71
595.671,35.81
596.755,35.83
597.838,35.77
598.922,35.81
600.021,35.81
601.104,35.63
602.187,35.69
603.278,35.77
604.362,35.81
605.446,35.77
606.53,35.83
607.613,35.83
608.697,35.83
609.792,35.81
610.876,35.75
611.96,35.75
613.044,35.81
614.128,
615.501,35.83
616.585,35.77
617.669,35.85
618.753,35.91
619.837,35.97
620.921,35.93
622.005,35.85
623.089,35.85
624.173,35.71
625.257,35.89
626.341,35.81
627.436,35.97
628.52,35.91
629.604,35.99
630.688,35.99
631.772,36.07
632.855,35.99
633.939,35.99
635.023,35.97
636.107,36.01
637.191,36.01
638.289,36.01
639.373,35.97
640.457,36.05
641.54,35.93
642.624,35.91
643.719,35.97
644.803,35.91
645.886,35.99
646.97,35.99
648.054,36.01
649.138,
650.396,
651.653,
652.91,
654.167,
655.424,
656.681,35.99
657.765,35.97
658.85,35.97
659.934,36.05
661.029,35.97
662.113,35.93
663.197,35.91
664.282,35.91
665.365,
666.622,
667.879,
669.136,
670.219,
671.476,
672.733,35.99
673.816,35.97
674.9,35.97
675.983,36.01
677.067,35.99
678.225,
679.482,
680.739,
681.996,
683.253,35.97
684.337,
685.595,
686.852,
688.109,
689.366,
690.623,
691.88,
693.137,
694.394,
695.652,
696.909,
698.166,
699.423,35.97
700.507,35.99
701.59,35.99
702.674,35.97
703.757,35.91
704.841,35.89
705.925,35.99
707.009,35.97
708.092,35.97
709.176,35.83
710.26,
711.517,
712.774,
714.031,
715.288,
716.545,35.83
717.629,35.97
718.712,35.97
719.795,35.97
720.879,35.91
721.977,35.99
723.061,35.91
724.145,35.91
725.229,35.93
726.313,35.81
727.397,35.97
728.481,35.93
729.565,35.99
730.649,35.91
731.733,35.91
732.817,35.89
733.9,35.93
734.984,35.83
736.067,35.93
737.151,35.89
738.234,35.85
739.318,35.85
740.401,35.89
741.485,35.85
742.569,35.85
743.653,35.85
744.737,35.85
745.822,35.85
746.912,35.89
747.996,35.81
749.08,35.83
750.164,35.83
751.248,35.83
752.332,35.81
753.415,35.89
754.498,35.83
755.582,35.71
756.666,35.77
757.75,35.71
758.834,35.77
759.905,35.75
760.989,35.81
762.073,35.77
763.157,35.81
764.241,35.69
765.325,
766.582,
767.839,
769.096,
770.353,
771.61,
772.693,35.69
773.776,35.69
774.86,35.67
775.944,35.67
777.028,35.77
778.112,35.69
779.196,35.69
780.28,35.69
781.364,
782.447,
783.704,
784.961,
786.044,35.61
787.128,35.71
788.211,35.63
789.294,35.55
790.378,35.63
791.462,35.59
792.546,35.61
793.63,35.63
794.714,35.61
795.798,35.55
796.882,35.63
797.966,35.61
799.065,35.59
800.149,35.61
801.233,35.55
802.317,35.55
803.4,35.55
804.483,35.61
805.567,35.55
806.651,35.53
807.735,35.51
808.819,35.55
809.902,35.63
810.986,35.55
812.108,35.67
813.192,35.53
814.276,35.55
815.552,35.67
816.875,35.61
817.959,35.55
819.043,35.47
820.127,35.51
821.211,35.45
822.295,35.55
823.379,35.51
824.463,35.55
825.547,35.55
826.63,35.47
827.714,35.51
828.798,35.45
829.882,35.59
830.966,
832.23,35.51
833.314,
834.487,35.45
835.57,35.51
836.668,35.45
837.752,35.47
838.836,35.47
839.92,35.53
841.003,35.45
842.087,35.43
843.17,35.39
844.253,35.45
845.337,35.37
846.42,35.37
847.504,
848.875,35.35
849.958,35.43
851.043,35.53
852.126,35.43
853.209,35.45
854.292,35.39
855.376,35.37
856.46,35.39
857.544,35.47
858.628,35.43
859.712,35.37
860.796,35.35
861.879,35.37
862.963,35.45
864.047,35.43
865.131,35.43
866.215,35.29
867.299,35.35
868.383,35.35
869.467,35.37
870.551,35.47
871.635,35.45
872.719,35.35
873.803,35.43
874.874,35.43
875.958,35.37
877.042,35.39
878.126,35.45
879.209,35.29
880.293,35.39
881.377,35.45
882.461,35.35
883.544,35.35
884.628,
885.905,
887.188,
888.464,1037.55
889.599,
890.875,
892.151,
893.427,
894.703,
895.979,
897.256,
898.532,
899.808,
901.084,
902.36,
903.636,
904.912,
906.188,
907.464,35.27
908.547,35.31
909.629,
910.909,
912.321,35.23
913.403,35.23
914.485,35.23
915.567,35.29
916.649,35.27
917.747,35.23
918.829,35.31
919.911,35.35
920.993,35.31
922.075,35.29
923.157,35.27
924.239,35.37
925.321,35.31
926.403,35.29
927.485,35.29
928.567,35.27
929.649,35.23
930.731,35.23
931.813,35.27
932.895,35.23
933.977,35.23
935.059,35.27
936.141,35.23
937.223,35.29
938.305,35.21
939.387,35.27
940.469,35.23
941.551,35.21
942.633,35.23
943.715,35.21
944.797,35.21
945.879,35.23
946.961,35.23
948.043,35.19
949.125,35.23
950.207,35.21
951.289,35.23
952.371,35.23
953.453,35.29
954.55,35.27
955.632,35.23
956.714,35.23
957.796,35.21
958.878,35.23
959.96,35.23
961.041,35.19
962.122,35.21
963.203,35.21
964.284,35.19
965.365,35.15
966.446,35.19
967.527,35.19
968.608,35.09
969.689,35.19
970.77,35.21
971.851,35.15
972.932,35.21
974.013,35.13
975.094,35.21
976.175,35.19
977.256,35.09
978.337,35.19
979.418,35.09
980.499,35.13
981.58,35.05
982.661,35.13
983.742,35.13
984.823,35.13
985.904,35.13
986.985,35.07
988.066,35.19
989.147,35.13
990.228,35.05
991.324,35.13
992.405,35.07
993.486,35.09
994.567,35.15
995.648,35.07
996.729,35.13
997.81,35.15
998.891,35.09
999.972,35.07
1001.053,35.05
1002.134,35.05
1003.215,35.09
1004.296,35.05
1005.377,35.07
1006.458,34.97
1007.539,35.01
1008.62,34.97
1009.701,34.97
1010.782,35.01
1011.863,34.89
1012.944,34.61
1014.025,34.67
1015.106,34.97
1016.187,35.01
1017.268,35.01
1018.349,35.09
1019.43,35.05
1020.511,34.91
1021.592,34.99
1022.673,35.01
1023.754,35.07
1024.835,35.09
1025.916,34.99
1027.019,35.13
1028.1,35.15
1029.181,35.01
1030.262,35.07
1031.343,35.07
1032.424,35.05
1033.505,34.99
1034.586,35.09
1035.667,35.07
1036.748,35.09
1037.829,35.05
1038.91,35.09
1039.991,35.07
1041.072,35.07
1042.153,35.07
1043.234,35.05
1044.318,35.13
1045.4,35.13
1046.482,35.09
1047.564,35.09
1048.646,35.15
1049.728,35.05
1050.81,35.15
1051.892,35.09
1052.974,35.13
1054.056,35.05
1055.138,35.07
1056.22,35.07
1057.302,35.09
1058.384,34.93
1059.466,35.01
1060.548,34.93
1061.648,35.01
1062.732,34.99
1063.816,34.97
1064.9,34.97
1065.984,34.91
1067.068,35.05
1068.152,35.01
1069.236,35.01
1070.32,34.97
1071.403,35.01
1072.486,34.97
1073.569,
1074.652,
1075.734,35.07
1076.818,35.01
1077.902,34.97
1078.986,34.97
1080.07,34.99
1081.154,34.93
1082.238,35.05
1083.321,35.07
1084.405,34.99
1085.488,34.99
1086.572,35.09
1087.656,34.97
1088.74,35.09
1089.824,35.09
1090.907,34.99
1091.991,35.05
1093.075,35.15
1094.159,35.09
1095.243,35.09
1096.341,35.15
1097.424,35.13
1098.508,35.13
1099.591,35.15
1100.674,35.15
1101.758,35.15
1102.842,35.19
1103.925,35.19
1105.009,35.21
1106.092,35.15
1107.176,35.15
1108.26,35.21
1109.344,35.23
1110.427,35.27
1111.511,35.31
1112.595,35.29
1113.679,35.37
1114.763,35.37
1115.847,35.35
1116.93,35.39
1118.014,35.37
1119.098,35.39
1120.182,35.31
1121.266,35.37
1122.35,35.39
1123.434,35.47
1124.518,35.55
1125.602,35.53
1126.686,35.51
1127.77,35.47
1128.853,35.63
1129.937,35.61
1131.037,35.63
1132.12,35.67
1133.204,35.67
1134.288,35.69
1135.372,35.71
1136.456,35.71
1137.54,35.83
1138.624,35.81
1139.708,35.89
1140.792,35.85
1141.876,35.83
1142.96,35.85
1144.044,35.93
1145.128,35.91
1146.211,35.89
1147.295,35.93
1148.379,35.97
1149.462,36.01
1150.546,36.05
1151.63,35.97
1152.713,36.01
1153.796,35.97
1154.88,35.97
1155.963,36.05
1157.046,36.15
1158.13,36.07
1159.214,36.09
1160.298,36.07
1161.381,36.17
1162.465,36.17
1163.556,36.13
1164.64,36.13
1165.738,36.13
1166.821,36.15
1167.905,36.23
1168.989,36.21
1170.073,36.25
1171.157,36.23
1172.241,36.25
1173.325,36.25
1174.409,36.29
1175.493,36.31
1176.577,36.31
1177.661,36.29
1178.745,36.31
1179.829,36.31
1180.912,36.29
1181.996,36.33
1183.08,36.31
1184.164,36.31
1185.248,36.41
1186.332,36.39
1187.416,36.39
1188.5,36.45
1189.583,36.37
1190.667,36.45
1191.751,36.47
1192.835,36.45
1193.919,36.45
1195.003,36.45
1196.087,36.41
1197.17,36.41
1198.254,36.45
1199.338,36.49
1200.437,36.41
1201.521,36.39
1202.605,36.39
1203.689,36.39
1204.773,36.39
1205.857,36.45
1206.941,36.49
1208.025,36.45
1209.109,36.41
1210.193,36.45
1211.277,36.49
1212.361,36.47
1213.445,36.55
1214.529,36.45
1215.613,36.53
1216.697,36.53
1217.781,36.45
1218.865,36.57
1219.949,36.41
1221.033,36.55
1222.117,36.53
1223.201,36.53
1224.286,36.55
1225.37,36.57
1226.454,36.53
1227.538,36.55
1228.622,36.55
1229.706,36.57
1230.79,36.57
1231.874,36.55
1232.958,36.57
1234.042,36.61
1235.14,36.55
1236.224,36.57
1237.308,36.65
1238.392,36.65
1239.476,36.57
1240.56,36.57
1241.644,36.65
1242.728,36.65
1243.812,36.63
1244.896,36.65
1245.98,36.61
1247.064,36.65
1248.148,36.69
1249.232,36.71
1250.316,36.65
1251.4,36.65
1252.484,36.63
1253.568,36.65
1254.652,36.71
1255.736,36.63
1256.82,36.63
1257.904,36.63
1258.988,36.63
1260.072,36.65
1261.156,36.63
1262.24,36.63
1263.324,36.57
1264.408,36.69
1265.492,36.61
1266.576,36.63
1267.66,36.63
1268.744,36.65
1269.844,36.63
1270.928,36.55
1272.012,36.57
1273.096,36.49
1274.18,36.49
1275.264,36.57
1276.348,36.49
1277.432,36.47
1278.516,36.55
1279.601,36.53
1280.685,36.47
1281.769,36.53
1282.853,36.49
1283.937,36.53
1285.021,36.39
1286.105,36.47
1287.189,36.55
1288.273,36.49
1289.358,36.57
1290.442,36.49
1291.526,36.47
1292.61,36.45
1293.694,36.45
1294.778,36.41
1295.862,36.45
1296.946,36.41
1298.03,36.45
1299.114,36.47
1300.206,36.49
1301.29,36.49
1302.374,36.47
1303.458,36.49
1304.557,36.49
1305.642,36.41
1306.726,36.47
1307.81,36.47
1308.894,36.49
1309.978,36.47
1311.062,36.49
1312.146,36.47
1313.231,36.47
1314.315,36.45
1315.399,36.49
1316.483,36.49
1317.567,36.47
1318.651,36.47
1319.735,36.41
1320.819,36.41
1321.903,36.47
1322.988,36.47
1324.072,36.37
1325.157,36.37
1326.241,36.37
1327.325,36.37
1328.409,36.37
1329.493,36.29
1330.577,36.37
1331.661,36.33
1332.745,36.25
1333.829,36.31
1334.913,36.33
1335.997,36.31
1337.081,36.33
1338.165,36.33
1339.265,36.39
1340.349,36.33
1341.433,36.23
1342.517,36.33
1343.601,36.31
1344.685,36.31
1345.769,36.23
1346.853,36.37
1347.937,36.41
1349.021,36.37
1350.105,36.41
1351.189,36.15
1352.273,36.23
1353.357,36.45
1354.441,36.33
1355.525,36.33
1356.609,36.37
1357.693,36.39
1358.777,36.41
1359.861,36.49
1360.945,36.41
1362.029,36.47
1363.113,36.31
1364.197,36.39
1365.281,36.41
1366.365,36.41
1367.449,36.41
1368.533,36.37
1369.617,36.39
1370.701,36.37
1371.785,36.39
1372.869,36.37
1373.968,36.39
1375.052,36.31
1376.136,36.41
1377.22,36.33
1378.304,36.39
1379.388,36.31
1380.472,36.41
1381.556,36.37
1382.641,36.39
1383.725,36.39
1384.809,36.33
1385.893,36.37
1386.977,36.49
1388.061,36.45
1389.145,36.41
1390.229,36.45
1391.313,36.45
1392.397,36.45
1393.481,36.45
1394.565,36.53
1395.649,36.45
1396.733,36.39
1397.817,36.45
1398.901,36.39
1399.985,36.39
1401.069,36.47
1402.153,36.45
1403.237,36.39
1404.321,36.49
1405.406,36.49
1406.49,36.41
1407.574,36.37
1408.674,36.45
1409.758,36.45
1410.841,36.33
1411.924,36.33
1413.007,36.45
1414.09,36.31
1415.173,36.31
1416.256,36.33
1417.339,36.33
1418.422,36.39
1419.505,36.31
1420.588,36.37
1421.671,36.33
1422.754,36.29
1423.837,36.33
1424.92,36.31
1426.003,36.33
1427.086,36.25
1428.169,36.33
1429.252,36.33
1430.335,36.39
1431.418,36.33
1432.501,36.37
1433.584,36.33
1434.667,36.31
1435.75,36.29
1436.84,36.31
1437.923,36.31
1439.006,36.37
1440.089,36.33
1441.172,36.31
1442.255,36.39
1443.352,36.37
1444.435,36.31
1445.518,36.33
1446.601,36.41
1447.684,36.37
1448.767,36.41
1449.85,36.47
1450.933,36.47
1452.016,36.41
1453.099,36.47
1454.18,36.41
1455.261,36.49
1456.342,36.47
1457.504,36.47
1458.652,36.45
1459.801,36.41
1460.946,36.49
1462.098,36.49
1463.243,36.45
1464.394,36.49
1465.545,36.49
1466.686,36.47
1467.873,36.47
1468.954,36.49
1470.035,36.47
1471.116,36.45
1472.197,36.47
1473.278,36.53
1474.359,36.53
1475.44,36.53
1476.521,36.49
1477.602,36.49
1478.699,36.55
1479.78,36.55
1480.861,36.53
1481.942,36.49
1483.023,36.47
1484.104,36.53
1485.185,36.55
1486.266,36.57
1487.347,36.53
1488.428,36.49
1489.509,36.47
1490.59,36.53
1491.671,36.55
1492.752,36.47
1493.833,36.53
1494.914,36.53
1495.995,36.55
1497.076,36.55
1498.157,36.55
1499.238,36.57
1500.319,36.61
1501.4,36.49
1502.481,36.49
1503.562,36.49
1504.643,36.49
1505.724,36.41
1506.805,36.07
1507.886,36.33
1508.967,36.57
1510.048,36.53
1511.129,36.55
1512.21,36.41
1513.306,36.53
1514.387,36.55
1515.468,36.49
1516.549,36.55
1517.63,36.55
1518.711,36.55
1519.792,36.55
1520.873,36.53
1521.954,36.55
1523.035,36.49
1524.116,36.55
1525.197,36.55
1526.278,36.57
1527.359,36.49
1528.44,36.57
1529.521,36.53
1530.602,36.65
1531.683,36.57
1532.764,36.57
1533.845,36.53
1534.926,36.55
1536.007,36.61
1537.088,36.61
1538.169,36.63
1539.25,36.55
1540.331,36.63
1541.412,36.57
1542.493,36.55
1543.574,36.57
1544.655,36.63
1545.736,36.65
1546.817,36.55
1547.914,36.69
1548.995,36.53
1550.076,36.61
1551.157,36.57
1552.238,36.55
1553.319,36.57
1554.4,36.57
1555.481,36.65
1556.562,36.57
1557.643,36.69
1558.724,36.63
1559.805,36.57
1560.886,36.61
1561.967,36.65
1563.048,36.71
1564.129,36.61
1565.21,36.65
1566.291,36.61
1567.372,36.69
1568.453,36.71
1569.534,36.61
1570.615,36.69
1571.696,36.65
1572.777,36.61
1573.866,36.61
1574.947,36.69
1576.028,36.61
1577.109,36.61
1578.19,36.57
1579.271,36.65
1580.352,36.61
1581.433,36.63
1582.529,36.65
1583.61,36.55
1584.691,36.61
1585.772,36.57
1586.853,36.65
1587.934,36.71
1589.015,36.57
1590.096,36.63
1591.177,36.65
1592.258,36.61
1593.339,36.57
1594.42,36.61
1595.501,36.63
1596.582,36.55
1597.663,36.63
1598.744,36.61
1599.825,36.65
1600.906,36.71
1601.987,36.65
1603.068,36.61
1604.149,36.65
1605.23,36.65
1606.311,36.65
1607.392,36.69
1608.473,36.65
1609.554,36.65
1610.635,36.69
1611.716,36.69
1612.797,36.65
1613.878,36.63
1614.959,36.77
1616.04,36.65
1617.137,36.69
1618.218,36.65
1619.299,36.69
1620.38,36.73
1621.461,36.69
1622.542,36.79
1623.623,36.69
1624.704,36.69
1625.785,36.73
1626.866,36.71
1627.947,36.73
1629.028,36.77
1630.109,36.69
1631.19,36.69
1632.271,36.79
1633.352,36.71
1634.433,36.73
1635.514,36.71
1636.595,36.71
1637.676,36.77
1638.757,36.77
1639.838,36.77
1640.919,36.77
1642.0,36.73
1643.081,36.79
1644.162,36.77
1645.243,36.73
1646.324,36.73
1647.405,36.79
1648.486,36.71
1649.567,36.69
1650.648,36.79
1651.744,36.73
1652.825,36.71
1653.906,36.81
1654.987,36.69
1656.068,36.77
1657.149,36.73
1658.23,36.73
1659.311,36.77
1660.392,36.79
1661.473,36.81
1662.554,36.81
1663.635,36.85
1664.716,36.81
1665.797,36.69
1666.878,36.65
1667.959,36.63
1669.04,36.65
1670.121,36.57
1671.202,36.69
1672.283,36.63
1673.364,36.47
1674.445,36.57
1675.526,36.63
1676.607,36.57
1677.688,36.55
1678.769,36.55
1679.85,36.49
1680.931,36.57
1682.012,36.57
1683.093,36.55
1684.174,36.49
1685.255,36.55
1686.352,36.63
1687.433,36.49
1688.514,36.61
1689.595,36.55
1690.676,36.53
1691.757,36.55
1692.838,36.47
1693.919,36.61
1695.0,36.53
1696.081,36.55
1697.162,36.57
1698.243,36.57
1699.324,36.47
1700.405,36.57
1701.486,36.57
1702.567,36.61
1703.648,36.57
1704.729,36.47
1705.81,36.49
1706.891,36.57
1707.972,36.61
1709.053,36.49
1710.142,36.53
1711.223,36.57
1712.304,36.61
1713.385,36.45
1714.466,36.61
1715.547,36.47
1716.628,36.55
1717.709,36.47
1718.79,36.55
1719.871,36.61
1720.967,36.55
1722.048,36.63
1723.129,36.61
1724.21,36.55
1725.291,36.57
1726.372,36.61
1727.453,36.63
1728.534,36.69
1729.615,36.63
1730.696,36.55
1731.777,36.55
1732.858,36.53
1733.939,36.57
1735.02,36.49
1736.101,36.63
1737.182,36.61
1738.263,36.61
1739.344,36.63
1740.425,36.55
1741.506,36.61
1742.587,36.55
1743.668,36.63
1744.749,36.57
1745.83,36.69
1746.911,36.61
1747.992,36.63
1749.073,36.57
1750.154,36.63
1751.235,36.65
1752.316,36.69
1753.397,36.69
1754.478,36.63
1755.575,36.65
1756.656,36.65
1757.737,36.61
1758.818,36.61
1759.899,36.61
1760.98,36.69
1762.061,36.61
1763.142,36.65
1764.223,36.63
1765.304,36.63
1766.385,36.65
1767.466,36.61
1768.547,36.69
1769.628,36.61
1770.709,36.69
1771.79,36.61
1772.871,36.65
1773.952,36.65
1775.033,36.77
1776.114,36.61
1777.195,36.57
1778.276,36.65
1779.357,36.63
1780.438,36.69
1781.519,36.65
1782.6,36.65
1783.681,36.63
1784.762,36.57
1785.843,36.47
1786.924,36.63
1788.005,36.61
1789.086,36.63
1790.182,36.55
1791.263,36.57
1792.344,36.61
1793.425,36.65
1794.506,36.69
1795.587,36.63
1796.668,36.63
1797.749,36.65
1798.83,36.61
1799.911,36.65
1800.992,36.63
1802.073,36.61
1803.154,36.65
1804.235,36.63
1805.316,36.57
1806.397,36.65
1807.478,36.69
1808.559,36.65
1809.64,36.63
1810.721,36.69
1811.802,36.61
1812.883,36.69
1813.964,36.65
1815.045,36.63
1816.126,36.73
1817.207,36.69
1818.288,36.69
1819.369,36.73
1820.45,36.71
1821.531,36.77
1822.612,36.73
1823.693,36.65
1824.79,36.77
1825.871,36.65
1826.952,36.77
1828.033,36.79
1829.114,36.69
1830.195,36.77
